id,articleType,baseColour,type_lbl,color_lbl
16541,Shirts,Black,tshirt,black
6759,Tshirts,White,tshirt,white
4296,Tshirts,Brown,tshirt,brown
4082,Tshirts,Beige,tshirt,nude
19746,Tshirts,Black,tshirt,black
17282,Tshirts,Black,tshirt,black
26864,Tops,Pink,tshirt,pink
11611,Kurtas,Black,tshirt,black
6226,Tshirts,Pink,tshirt,pink
41593,Shirts,Beige,tshirt,nude
10575,Tshirts,Pink,tshirt,pink
6787,Tshirts,Brown,tshirt,brown
54573,Kurtas,Coffee Brown,tshirt,brown
27150,Shirts,Brown,tshirt,brown
59439,Shirts,Pink,tshirt,pink
16483,Shirts,Brown,tshirt,brown
6614,Tshirts,Beige,tshirt,nude
40567,Kurtas,Brown,tshirt,brown
33080,Tshirts,White,tshirt,white
23036,Shirts,White,tshirt,white
7504,Tshirts,Pink,tshirt,pink
42665,Kurtas,Beige,tshirt,nude
13929,Shirts,Beige,tshirt,nude
13227,Tshirts,Brown,tshirt,brown
28716,Kurtas,Beige,tshirt,nude
43324,Tshirts,White,tshirt,white
20319,Shirts,Beige,tshirt,nude
19401,Tshirts,Black,tshirt,black
31455,Tshirts,Black,tshirt,black
37943,Tunics,Beige,tshirt,nude
25840,Kurtas,Beige,tshirt,nude
42509,Kurtas,Beige,tshirt,nude
32260,Kurtis,Beige,tshirt,nude
37178,Tops,Pink,tshirt,pink
7450,Tshirts,Cream,tshirt,white
59672,Lehenga Choli,Brown,tshirt,brown
3193,Tshirts,Beige,tshirt,nude
25546,Tshirts,White,tshirt,white
32388,Sweaters,Beige,tshirt,nude
59300,Shirts,Beige,tshirt,nude
6202,Tshirts,Beige,tshirt,nude
28761,Kurtas,Beige,tshirt,nude
2978,Tshirts,Pink,tshirt,pink
56687,Kurtas,Beige,tshirt,nude
12273,Shirts,Beige,tshirt,nude
34001,Tops,Brown,tshirt,brown
42556,Kurtas,Brown,tshirt,brown
32397,Shirts,Pink,tshirt,pink
21226,Tshirts,Brown,tshirt,brown
32930,Shirts,Black,tshirt,black
11357,Sweatshirts,Black,sweatshirt,black
10991,Tshirts,Brown,tshirt,brown
39734,Shirts,Pink,tshirt,pink
11020,Tshirts,Pink,tshirt,pink
12098,Kurtas,Beige,tshirt,nude
40624,Kurtas,Brown,tshirt,brown
54937,Tshirts,Beige,tshirt,nude
51455,Shrug,Pink,tshirt,pink
28517,Tshirts,Black,tshirt,black
12771,Kurtas,Pink,tshirt,pink
16421,Tshirts,Brown,tshirt,brown
58740,Tshirts,Pink,tshirt,pink
2295,Tshirts,Pink,tshirt,pink
14104,Tshirts,Black,tshirt,black
24061,Tshirts,Brown,tshirt,brown
12543,Tshirts,Pink,tshirt,pink
30869,Kurtas,Beige,tshirt,nude
8787,Shirts,White,tshirt,white
15075,Shirts,Beige,tshirt,nude
54891,Tops,Beige,tshirt,nude
17153,Jackets,Khaki,tshirt,nude
1798,Tshirts,Black,tshirt,black
9963,Tshirts,Black,tshirt,black
48076,Tshirts,Brown,tshirt,brown
41606,Shirts,Beige,tshirt,nude
34946,Dupatta,Beige,tshirt,nude
11405,Tshirts,White,tshirt,white
10030,Tshirts,Black,tshirt,black
37795,Shirts,White,tshirt,white
6062,Tshirts,Black,tshirt,black
12589,Tshirts,Brown,tshirt,brown
18985,Jackets,White,tshirt,white
17906,Sweatshirts,Black,sweatshirt,black
9236,Shirts,Brown,tshirt,brown
32914,Tshirts,Black,tshirt,black
23335,Tunics,Brown,tshirt,brown
7357,Tshirts,Beige,tshirt,nude
18730,Sweaters,Brown,tshirt,brown
28623,Tshirts,Black,tshirt,black
7343,Tshirts,Khaki,tshirt,nude
15964,Jackets,Khaki,tshirt,nude
30333,Tshirts,Black,tshirt,black
26799,Shirts,Beige,tshirt,nude
4231,Tshirts,Black,tshirt,black
3702,Tshirts,Black,tshirt,black
41131,Tops,Pink,tshirt,pink
38593,Tshirts,Black,tshirt,black
25823,Kurtas,Brown,tshirt,brown
37732,Shirts,White,tshirt,white
23071,Sweaters,Black,tshirt,black
40660,Kurtas,Pink,tshirt,pink
14770,Shirts,Black,tshirt,black
14622,Sweatshirts,Black,sweatshirt,black
19994,Tshirts,Black,tshirt,black
2703,Tops,Pink,tshirt,pink
24529,Shirts,Beige,tshirt,nude
5010,Tshirts,Black,tshirt,black
15000,Tshirts,White,tshirt,white
38796,Tshirts,White,tshirt,white
23337,Dupatta,Brown,tshirt,brown
57420,Tshirts,Black,tshirt,black
23024,Tunics,Pink,tshirt,pink
56806,Kurtis,Brown,tshirt,brown
22210,Tshirts,Brown,tshirt,brown
36471,Kurtas,White,tshirt,white
24845,Jackets,Beige,tshirt,nude
3346,Tshirts,Black,tshirt,black
14660,Shirts,White,tshirt,white
40654,Kurtas,Pink,tshirt,pink
28507,Tshirts,Black,tshirt,black
33956,Tshirts,Black,tshirt,black
20298,Sweaters,Pink,tshirt,pink
6036,Tshirts,Black,tshirt,black
41800,Tops,Beige,tshirt,nude
15614,Tshirts,Black,tshirt,black
54566,Kurtas,Khaki,tshirt,nude
10415,Tops,Beige,tshirt,nude
22227,Tshirts,Pink,tshirt,pink
22040,Kurtas,Cream,tshirt,white
25770,Suspenders,Black,tshirt,black
47016,Kurtas,Beige,tshirt,nude
19427,Shirts,Beige,tshirt,nude
20328,Kurtas,Beige,tshirt,nude
10455,Tshirts,Pink,tshirt,pink
12167,Dupatta,Pink,tshirt,pink
13218,Shirts,White,tshirt,white
33787,Shirts,Brown,tshirt,brown
46257,Tunics,Black,tshirt,black
49766,Kurtas,Beige,tshirt,nude
27881,Shirts,Beige,tshirt,nude
12030,Shirts,White,tshirt,white
43664,Tunics,Pink,tshirt,pink
6996,Tshirts,Brown,tshirt,brown
58498,Tops,White,tshirt,white
26357,Tshirts,Pink,tshirt,pink
32569,Tops,Pink,tshirt,pink
11710,Shirts,White,tshirt,white
30852,Kurtas,Beige,tshirt,nude
20792,Jackets,Beige,tshirt,nude
2344,Tshirts,Black,tshirt,black
4265,Tshirts,Pink,tshirt,pink
48510,Tops,Beige,tshirt,nude
40424,Tops,Beige,tshirt,nude
19109,Tshirts,Beige,tshirt,nude
5958,Shirts,Brown,tshirt,brown
59129,Jackets,Black,tshirt,black
26281,Tshirts,Black,tshirt,black
44668,Shirts,Pink,tshirt,pink
59133,Jackets,Brown,tshirt,brown
45856,Kurtas,Brown,tshirt,brown
19845,Shirts,Brown,tshirt,brown
39477,Kurtas,Brown,tshirt,brown
36819,Kurtas,Beige,tshirt,nude
22032,Kurtas,Brown,tshirt,brown
10059,Tshirts,Black,tshirt,black
19469,Shirts,Black,tshirt,black
17545,Shirts,Brown,tshirt,brown
8790,Shirts,White,tshirt,white
38332,Tops,Pink,tshirt,pink
19648,Tops,Brown,tshirt,brown
58765,Shirts,Beige,tshirt,nude
13850,Shirts,White,tshirt,white
40671,Shirts,Pink,tshirt,pink
30872,Kurtas,Beige,tshirt,nude
8489,Tops,Beige,tshirt,nude
4918,Tops,Pink,tshirt,pink
33224,Tops,Black,tshirt,black
26877,Tops,Pink,tshirt,pink
20107,Kurtas,Pink,tshirt,pink
39474,Kurtis,Beige,tshirt,nude
55590,Shirts,White,tshirt,white
46998,Kurtas,Brown,tshirt,brown
12916,Tshirts,Black,tshirt,black
46255,Tunics,Brown,tshirt,brown
38948,Tops,Pink,tshirt,pink
33138,Shirts,White,tshirt,white
4891,Tshirts,Pink,tshirt,pink
22061,Kurtas,Brown,tshirt,brown
37154,Tshirts,Beige,tshirt,nude
1870,Tshirts,Black,tshirt,black
18762,Shirts,Black,tshirt,black
30801,Shirts,Beige,tshirt,nude
2301,Tshirts,White,tshirt,white
25777,Suspenders,Brown,tshirt,brown
26918,Tops,Black,tshirt,black
42103,Tshirts,Black,tshirt,black
10682,Tshirts,Tan,tshirt,nude
37747,Shirts,Khaki,tshirt,nude
18741,Tops,Tan,tshirt,nude
28764,Kurtas,Beige,tshirt,nude
13289,Sweatshirts,Black,sweatshirt,black
14768,Shirts,White,tshirt,white
17275,Tshirts,Black,tshirt,black
7341,Tshirts,Brown,tshirt,brown
40578,Kurtas,White,tshirt,white
54964,Tshirts,Cream,tshirt,white
2150,Tshirts,White,tshirt,white
54685,Kurtas,Pink,tshirt,pink
39185,Kurtas,Khaki,tshirt,nude
58728,Tshirts,Pink,tshirt,pink
21166,Tops,Black,tshirt,black
39156,Kurtas,Black,tshirt,black
25841,Kurtas,Brown,tshirt,brown
59888,Tops,Nude,tshirt,nude
46384,Tshirts,Black,tshirt,black
18640,Tshirts,Black,tshirt,black
22909,Tshirts,Brown,tshirt,brown
12319,Shirts,Black,tshirt,black
3073,Tshirts,Tan,tshirt,nude
7286,Tshirts,White,tshirt,white
20106,Kurtas,Beige,tshirt,nude
2297,Tshirts,Pink,tshirt,pink
50710,Tops,Black,tshirt,black
15962,Jackets,Khaki,tshirt,nude
19399,Tshirts,Black,tshirt,black
46996,Kurtas,Beige,tshirt,nude
34206,Tshirts,Beige,tshirt,nude
28568,Tshirts,White,tshirt,white
22908,Tshirts,White,tshirt,white
13419,Tshirts,Pink,tshirt,pink
19575,Tops,Black,tshirt,black
28852,Tshirts,Brown,tshirt,brown
16916,Sweaters,White,tshirt,white
52157,Tops,Pink,tshirt,pink
19147,Tshirts,White,tshirt,white
27221,Tops,Pink,tshirt,pink
20115,Kurtas,Brown,tshirt,brown
48373,Shirts,White,tshirt,white
21899,Kurtas,Pink,tshirt,pink
11415,Tops,Brown,tshirt,brown
43488,Shirts,Beige,tshirt,nude
14041,Shirts,Brown,tshirt,brown
35440,Shirts,Black,tshirt,black
20213,Sweatshirts,Brown,sweatshirt,brown
13928,Tops,Pink,tshirt,pink
5952,Shirts,Brown,tshirt,brown
42109,Tshirts,Black,tshirt,black
46014,Kurtas,White,tshirt,white
2048,Tshirts,Black,tshirt,black
12462,Waistcoat,Brown,tshirt,brown
18304,Kurtas,Pink,tshirt,pink
4204,Tshirts,White,tshirt,white
52029,Rain Jacket,Coffee Brown,tshirt,brown
21174,Tops,Beige,tshirt,nude
48492,Tops,Beige,tshirt,nude
16035,Shirts,White,tshirt,white
17174,Shirts,Brown,tshirt,brown
59357,Kurtas,Pink,tshirt,pink
20206,Sweatshirts,Black,sweatshirt,black
30745,Kurtas,Beige,tshirt,nude
52136,Tshirts,Black,tshirt,black
6052,Shirts,Pink,tshirt,pink
11167,Shirts,Brown,tshirt,brown
3897,Tshirts,White,tshirt,white
42535,Kurtas,Beige,tshirt,nude
3936,Tshirts,Black,tshirt,black
13157,Tshirts,Black,tshirt,black
3956,Tops,Pink,tshirt,pink
54088,Tops,Beige,tshirt,nude
44842,Tshirts,Black,tshirt,black
58671,Kurtas,Brown,tshirt,brown
41601,Shirts,Brown,tshirt,brown
30939,Kurtis,Beige,tshirt,nude
19861,Jackets,Black,tshirt,black
3761,Tshirts,White,tshirt,white
18748,Tops,Beige,tshirt,nude
52120,Tshirts,White,tshirt,white
24500,Kurtas,Beige,tshirt,nude
18574,Tshirts,Black,tshirt,black
31103,Tshirts,Black,tshirt,black
30954,Tops,Beige,tshirt,nude
59887,Tops,Pink,tshirt,pink
22625,Sweaters,Black,tshirt,black
51428,Shirts,White,tshirt,white
28707,Kurtas,Off White,tshirt,white
3122,Tshirts,Brown,tshirt,brown
3871,Tshirts,Brown,tshirt,brown
6966,Tshirts,Black,tshirt,black
23144,Sweatshirts,Brown,sweatshirt,brown
7691,Tshirts,Black,tshirt,black
28731,Kurtas,White,tshirt,white
19588,Tops,White,tshirt,white
27110,Kurtas,Pink,tshirt,pink
4235,Tshirts,Brown,tshirt,brown
30758,Kurtas,Beige,tshirt,nude
43308,Shirts,Pink,tshirt,pink
23238,Kurtas,Brown,tshirt,brown
7766,Tshirts,Brown,tshirt,brown
17235,Tshirts,White,tshirt,white
7295,Tshirts,Black,tshirt,black
39216,Tops,Black,tshirt,black
8455,Tops,Pink,tshirt,pink
34175,Tshirts,Black,tshirt,black
22812,Tshirts,Brown,tshirt,brown
43618,Tops,White,tshirt,white
13887,Shirts,Black,tshirt,black
34902,Dupatta,Beige,tshirt,nude
14302,Tshirts,Brown,tshirt,brown
46809,Tshirts,Pink,tshirt,pink
4413,Tshirts,Brown,tshirt,brown
19450,Tshirts,Black,tshirt,black
34012,Tops,White,tshirt,white
43268,Kurtas,Pink,tshirt,pink
48505,Tops,Cream,tshirt,white
28721,Kurtas,Beige,tshirt,nude
7155,Tops,Beige,tshirt,nude
38590,Tshirts,Pink,tshirt,pink
19628,Tshirts,Black,tshirt,black
9541,Tshirts,Black,tshirt,black
31315,Kurtas,Brown,tshirt,brown
38329,Tops,Off White,tshirt,white
44811,Tops,Pink,tshirt,pink
15587,Shirts,Pink,tshirt,pink
27448,Tshirts,White,tshirt,white
7020,Tshirts,Black,tshirt,black
27285,Kurtas,Brown,tshirt,brown
13447,Tshirts,Pink,tshirt,pink
51870,Tshirts,Beige,tshirt,nude
43260,Kurtas,Pink,tshirt,pink
17503,Tshirts,Black,tshirt,black
46263,Tunics,Black,tshirt,black
28766,Kurtas,Brown,tshirt,brown
20258,Tshirts,Brown,tshirt,brown
6794,Tshirts,Pink,tshirt,pink
6235,Tshirts,White,tshirt,white
23177,Tshirts,Black,tshirt,black
11995,Tshirts,Black,tshirt,black
58738,Tops,Pink,tshirt,pink
6091,Tshirts,Pink,tshirt,pink
20210,Sweatshirts,Black,sweatshirt,black
17283,Tshirts,Brown,tshirt,brown
52097,Tops,Pink,tshirt,pink
18721,Tops,Pink,tshirt,pink
30318,Tshirts,Pink,tshirt,pink
37583,Rompers,Pink,tshirt,pink
30340,Tshirts,Off White,tshirt,white
37151,Tshirts,Beige,tshirt,nude
26484,Tshirts,White,tshirt,white
13885,Shirts,Black,tshirt,black
56709,Kurtas,White,tshirt,white
3742,Tshirts,Black,tshirt,black
11008,Tshirts,Cream,tshirt,white
9155,Tops,Black,tshirt,black
37939,Tunics,Black,tshirt,black
34223,Tshirts,Beige,tshirt,nude
17255,Tshirts,Black,tshirt,black
51440,Tops,Cream,tshirt,white
3938,Tshirts,White,tshirt,white
27377,Tshirts,Beige,tshirt,nude
4881,Tshirts,White,tshirt,white
53390,Kurtas,Beige,tshirt,nude
7278,Tshirts,Brown,tshirt,brown
19647,Tops,Pink,tshirt,pink
54981,Shirts,White,tshirt,white
3717,Tshirts,Brown,tshirt,brown
16649,Tshirts,Black,tshirt,black
26882,Tshirts,White,tshirt,white
44645,Tops,Beige,tshirt,nude
20111,Kurtas,White,tshirt,white
23146,Sweatshirts,Brown,sweatshirt,brown
4222,Tshirts,Brown,tshirt,brown
7570,Tshirts,Black,tshirt,black
23155,Tshirts,White,tshirt,white
40408,Tops,Brown,tshirt,brown
39164,Kurtas,Beige,tshirt,nude
5818,Tshirts,White,tshirt,white
22777,Kurtas,White,tshirt,white
15836,Kurtas,Pink,tshirt,pink
23156,Tshirts,White,tshirt,white
22016,Kurtas,Black,tshirt,black
46360,Shirts,White,tshirt,white
44840,Tshirts,White,tshirt,white
39461,Kurtis,Beige,tshirt,nude
48401,Tshirts,Cream,tshirt,white
16420,Tshirts,White,tshirt,white
58372,Tshirts,Beige,tshirt,nude
22392,Tops,White,tshirt,white
3427,Tshirts,Black,tshirt,black
4085,Tshirts,White,tshirt,white
7512,Tshirts,Black,tshirt,black
12658,Shirts,White,tshirt,white
57297,Shirts,White,tshirt,white
30839,Kurtas,Pink,tshirt,pink
17173,Shirts,Black,tshirt,black
6793,Shirts,Brown,tshirt,brown
17611,Tshirts,Pink,tshirt,pink
6196,Tshirts,Black,tshirt,black
46997,Kurtas,Beige,tshirt,nude
58676,Kurtas,Beige,tshirt,nude
19099,Kurtas,Pink,tshirt,pink
10372,Tshirts,Beige,tshirt,nude
8553,Tshirts,Pink,tshirt,pink
10459,Tshirts,Pink,tshirt,pink
59454,Shirts,Black,tshirt,black
19407,Tshirts,Black,tshirt,black
18326,Shirts,Black,tshirt,black
51222,Kurtis,Beige,tshirt,nude
22330,Tshirts,White,tshirt,white
12088,Kurtas,Brown,tshirt,brown
12279,Shirts,Pink,tshirt,pink
9590,Shirts,White,tshirt,white
43668,Tunics,Pink,tshirt,pink
21454,Tshirts,Black,tshirt,black
6988,Tshirts,White,tshirt,white
12627,Tshirts,Black,tshirt,black
31062,Dupatta,Beige,tshirt,nude
13321,Shirts,Pink,tshirt,pink
31358,Tshirts,Brown,tshirt,brown
4755,Tshirts,Brown,tshirt,brown
8818,Shirts,Pink,tshirt,pink
22358,Shirts,Beige,tshirt,nude
17803,Tshirts,Pink,tshirt,pink
43585,Tops,Pink,tshirt,pink
1760,Tshirts,White,tshirt,white
16046,Shirts,Brown,tshirt,brown
39728,Shirts,Pink,tshirt,pink
24504,Belts,Brown,tshirt,brown
20175,Shirts,Khaki,tshirt,nude
28691,Kurtas,Black,tshirt,black
33331,Shirts,Pink,tshirt,pink
8440,Tshirts,Pink,tshirt,pink
48423,Tshirts,White,tshirt,white
11362,Tops,Beige,tshirt,nude
7265,Tshirts,White,tshirt,white
11542,Kurtas,Beige,tshirt,nude
14994,Sweaters,Black,tshirt,black
39496,Jackets,Black,tshirt,black
37933,Tops,Pink,tshirt,pink
22385,Shirts,White,tshirt,white
